Time,Battery Voltage,Battery Current,Battery Power,Torque,Cadence,Rider Power,Total Power,Ride Distance,KMPH,Error Code
0,40.46,0,1,2.3,7.7,1,2,0,0,0
8,40.45,0,2,2.3,7.7,1,2,0,0,0
12,40.44,0,2,2.3,7.7,1,2,0,0,0
16,40.45,0,2,2.3,7.7,1,2,0,0,0
20,40.45,0.1,2,2.3,7.7,1,3,0,0,0
23,40.44,0,2,2.3,7.7,1,2,0,0,0
27,40.45,0.1,3,2.3,7.7,1,3,0,0,0
31,40.47,0.1,2,2.3,7.7,1,3,0,0,0
39,40.45,0.1,3,2.3,7.7,1,3,0,0,0
43,40.44,0.1,3,2.3,7.7,1,3,0,0,0
47,40.44,0.1,2,2.3,7.7,1,3,0,0,0
66,40.45,0.1,3,2.3,7.7,1,3,0,0,0
70,40.45,0.1,3,2.3,7.7,1,4,0,0,0
74,40.45,0.1,3,2.3,7.7,1,3,0,0,0
78,40.43,0.1,2,2.3,7.7,1,3,0,0,0
82,40.45,0.1,3,2.3,7.7,1,3,0,0,0
86,40.44,0.1,3,2.3,7.7,1,4,0,0,0
90,40.44,0.1,3,2.3,7.7,1,3,0,0,0
94,40.42,0.1,3,2.3,7.7,1,4,0,0,0
98,40.48,0.1,3,5.3,8.6,6,9,0,0,0
102,40.44,0.1,3,5.3,8.6,6,9,0,0,0
105,40.43,0.1,3,5.3,8.6,6,9,0,0,0
109,40.45,0.1,4,5.3,8.6,6,9,0,0,0
113,40.45,0.1,4,8.2,9.2,9,13,0,0,0
133,40.42,0.3,11,8.2,9.2,9,20,0,0,0
137,40.4,0.3,12,8.2,9.2,9,21,0,0,0
141,40.41,0.3,12,8.2,9.2,9,21,0,0,0
145,40.38,0.3,13,8.2,9.2,9,22,0,0,0
148,40.39,0.2,9,8.2,9.2,9,18,0,0,0
152,40.38,0.4,15,8.2,9.2,9,24,0,0,0
156,40.4,0.4,15,8.2,9.2,9,24,0,0,0
160,40.39,0.4,16,8.2,9.2,9,24,0,0,0
164,40.35,0.6,23,8.2,9.2,9,32,0,0,0
168,40.35,0.6,23,8.2,9.2,9,31,0,0,0
172,40.37,0.5,22,8.2,9.2,9,30,0,0,0
176,40.33,0.7,27,8.2,9.2,9,36,0,0,0
180,40.33,0.7,27,8.2,9.2,9,36,0,0,0
199,40.31,0.7,30,8.2,9.2,9,38,0,0,0
207,40.29,0.9,35,8.2,9.2,9,43,0,0,0
211,40.25,1,42,8.2,9.2,9,51,0,0,0
215,40.23,1.1,45,8.2,9.2,9,53,0,0,0
219,40.24,1.1,44,8.2,9.2,9,52,0,0,0
223,40.25,1,42,8.2,9.2,9,50,0,0,0
227,40.31,1,40,8.2,9.2,9,49,0,0,0
230,40.28,0.9,36,8.2,9.2,9,45,0,0,0
234,40.21,1.1,45,14.1,10.8,19,63,0,0,0
242,40.19,1.4,58,14.1,10.8,19,77,0,0,0
