Time,Battery Voltage,Battery Current,Battery Power,Torque,Cadence,Rider Power,Total Power,Ride Distance,KMPH,Error Code
0,40.95,0.1,5,0,1.2,0,5,0,0,0
8,40.95,0.1,4,0,1.2,0,4,0,0,0
12,40.94,0.1,4,0,1.2,0,4,0,0,0
16,40.95,0.1,6,0,1.2,0,5,0,0,0
20,40.93,0.1,6,0,1.2,0,5,0,0,0
23,40.93,0.2,6,0,1.2,0,6,0,0,0
27,40.94,0.1,5,0,1.2,0,4,0,0,0
31,40.96,0.1,5,0,1.2,0,4,0,0,0
35,40.96,0.1,6,0,1.2,0,5,0,0,0
39,40.94,0.1,5,0,1.2,0,5,0,0,0
43,40.93,0.1,4,0,1.2,0,3,0,0,0
66,40.96,0.1,5,0,1.2,0,5,0,0,0
70,40.94,0.1,5,0,1.2,0,5,0,0,0
74,40.96,0.1,6,0,1.2,0,5,0,0,0
78,40.96,0.1,4,0,1.2,0,4,0,0,0
82,40.94,0.1,5,0,1.2,0,5,0,0,0
86,40.94,0.1,5,0,1.2,0,5,0,0,0
90,40.95,0.1,6,0,1.2,0,5,0,0,0
94,40.95,0.1,5,0,1.2,0,4,0,0,0
98,40.93,0.1,6,0,1.2,0,5,0,0,0
102,40.95,0.1,5,0,1.2,0,4,0,0,0
105,40.94,0.1,5,0,1.2,0,5,0,0,0
109,40.95,0.1,5,0,2.2,0,4,0,0,0
117,40.92,0.1,6,0,2.2,0,6,0,0,0
137,40.95,0.1,5,0,2.2,0,4,0,0,0
141,40.97,0.1,5,0,2.2,0,5,0,0,0
145,40.95,0.1,5,0,3.1,0,4,0,0,0
152,40.94,0.1,5,0,3.1,0,5,0,0,0
156,40.93,0.1,5,0,3.1,0,5,0,0,0
160,40.94,0.1,5,0,3.1,0,5,0,0,0
164,40.93,0.1,5,0,3.1,0,5,0,0,0
168,40.95,0.1,5,0,3.1,0,5,0,0,0
172,40.95,0.1,5,0,3.1,0,4,0,0,0
176,40.95,0.1,5,0,3.1,0,5,0,0,0
180,40.95,0.1,5,0,3.1,0,4,0,0,0
184,40.93,0.1,6,0,3.1,0,5,0,0,0
188,40.95,0.1,6,0,3.1,0,5,0,0,0
207,40.95,0.1,4,0,3.1,0,4,0,0,0
211,40.95,0.1,6,0,3.1,0,5,0,0,0
219,40.93,0.1,6,0,3.1,0,5,0,0,0
223,40.94,0.1,6,0,3.1,0,5,0,0,0
227,40.94,0.1,5,0,3.1,0,5,0,0,0
230,40.95,0.1,5,0,3.1,0,5,0,0,0
234,40.94,0.1,5,0,3.1,0,5,0,0,0
238,40.95,0.1,5,0,3.1,0,5,0,0,0
242,40.95,0.1,5,0,3.1,0,4,0,0,0
246,40.94,0.1,5,0,3.1,0,4,0,0,0
254,40.94,0.1,5,0,3.1,0,5,0,0,0
258,40.93,0.1,6,0,3.1,0,5,0,0,0
262,40.94,0.1,5,0,3.1,0,5,0,0,0
281,40.97,0.1,4,0,3.1,0,3,0,0,0
285,40.94,0.1,6,0,3.1,0,5,0,0,0
289,40.94,0.1,6,0,3.1,0,5,0,0,0
293,40.94,0.1,5,0,3.1,0,5,0,0,0
297,40.95,0.1,5,0,3.1,0,4,0,0,0
301,40.95,0.1,5,0,3.1,0,4,0,0,0
305,40.95,0.1,5,0,3.1,0,4,0,0,0
309,40.96,0.1,5,2.3,4.4,1,5,0,0,0
312,40.96,0.1,5,2.3,4.4,1,6,0,0,0
