Time,Battery Voltage,Battery Current,Battery Power,Torque,Cadence,Rider Power,Total Power,Ride Distance,KMPH,Error Code
0,38.78,0,2,0,0,0,1,0,0,0
8,38.79,0,2,0,0,0,1,0,0,0
12,38.81,0,2,0,0,0,1,0,0,0
16,38.79,0,2,0,0,0,1,0,0,0
20,38.78,0,2,0,0,0,1,0,0,0
23,38.8,0,2,0,0,0,1,0,0,0
27,38.79,0,1,0,0,0,0,0,0,0
31,38.79,0,2,0,0,0,1,0,0,0
35,38.78,0,2,0,0,0,1,0,0,0
39,38.79,0,1,0,0,0,1,0,0,0
43,38.79,0,2,0,0,0,1,0,0,0
62,38.79,0,2,0,0,0,1,0,0,0
66,38.8,0,1,0,0,0,1,0,0,0
70,38.78,0,1,0,0,0,1,0,0,0
74,38.77,0,2,0,0,0,1,0,0,0
78,38.8,0.1,2,0,0,0,1,0,0,0
82,38.79,0.1,2,0,0,0,2,0,0,0
86,38.78,0,2,0,0,0,1,0,0,0
90,38.78,0,2,0,0,0,1,0,0,0
94,38.81,0,2,0,0,0,1,0,0,0
98,38.78,0.1,2,0,0,0,2,0,0,0
102,38.8,0,2,0,0,0,1,0,0,0
105,38.79,0,2,0,0,0,1,0,0,0
109,38.79,0.1,2,0,0,0,2,0,0,0
129,38.8,0,2,0,0,0,1,0,0,0
133,38.79,0.1,3,0,0,0,2,0,0,0
137,38.79,0,1,0,0,0,1,0,0,0
141,38.79,0,2,0,0,0,1,0,0,0
145,38.79,0.1,2,0,0,0,2,0,0,0
148,38.8,0.1,3,0,0,0,2,0,0,0
152,38.79,0.1,2,0,0,0,2,0,0,0
156,38.79,0.1,2,0,0,0,2,0,0,0
160,38.8,0,2,0,0,0,1,0,0,0
164,38.79,0,1,0,0,0,1,0,0,0
168,38.79,0,1,0,0,0,1,0,0,0
172,38.79,0.1,2,0,0,0,1,0,0,0
176,38.79,0,2,0,0,0,1,0,0,0
195,38.81,0,2,0,0,0,1,0,0,0
199,38.79,0,1,0,0,0,1,0,0,0
203,38.8,0,2,0,0,0,1,0,0,0
207,38.78,0.1,2,0,0,0,1,0,0,0
211,38.8,0.1,2,0,0,0,1,0,0,0
215,38.8,0,2,0,0,0,1,0,0,0
219,38.79,0.1,2,0,0,0,2,0,0,0
223,38.79,0,2,0,0,0,1,0,0,0
227,38.8,0.1,3,0,0,0,2,0,0,0
230,38.79,0,1,0,0,0,1,0,0,0
234,38.79,0.1,2,0,0,0,2,0,0,0
238,38.78,0,2,0,0,0,1,0,0,0
242,38.81,0,1,0,0,0,1,0,0,0
246,38.78,0.1,2,0,0,0,1,0,0,0
266,38.78,0.1,2,0,0,0,2,0,0,0
270,38.79,0.1,2,0,0,0,1,0,0,0
273,38.79,0.1,2,0,0,0,1,0,0,0
277,38.78,0.1,3,0,0,0,2,0,0,0
281,38.79,0.1,2,0,0,0,2,0,0,0
285,38.79,0.1,2,0,0,0,2,0,0,0
289,38.79,0.1,2,0,0,0,2,0,0,0
293,38.79,0.1,2,0,0,0,1,0,0,0
301,38.79,0,2,0,0,0,1,0,0,0
305,38.79,0,2,0,0,0,1,0,0,0
309,38.79,0,1,0,0,0,1,0,0,0
312,38.79,0,1,0,0,0,1,0,0,0
316,38.79,0,2,0,0,0,1,0,0,0
336,38.79,0.1,2,0,0,0,2,0,0,0
340,38.79,0,2,0,0,0,1,0,0,0
344,38.79,0,2,0,0,0,1,0,0,0
348,38.79,0.1,2,0,0,0,2,0,0,0
352,38.8,0,2,0,0,0,1,0,0,0
355,38.8,0,2,0,0,0,1,0,0,0
