Time,Battery Voltage,Battery Current,Battery Power,Torque,Cadence,Rider Power,Total Power,Ride Distance,KMPH,Error Code
0,38.81,0,2,0,0,0,1,0,0,0
4,38.84,0,1,0,0,0,1,0,0,0
8,38.84,0.1,3,0,0,0,2,0,0,0
12,38.82,0.1,2,0,0,0,2,0,0,0
16,38.83,0.1,3,0,0,0,2,0,0,0
20,38.83,0.1,2,0,0,0,2,0,0,0
23,38.85,0.1,2,0,0,0,2,0,0,0
31,38.83,0,1,0,0,0,1,0,0,0
35,38.83,0.1,2,0,0,0,2,0,0,0
39,38.82,0,2,0,0,0,1,0,0,0
43,38.82,0.1,3,0,0,0,2,0,0,0
62,38.84,0.1,3,0,0,0,2,0,0,0
66,38.84,0,2,0,0,0,1,0,0,0
70,38.83,0.1,2,0,0,0,2,0,0,0
74,38.84,0.1,2,0,0,0,1,0,0,0
78,38.84,0,2,0,0,0,1,0,0,0
82,38.83,0.1,3,0,0,0,2,0,0,0
86,38.84,0,2,0,0,0,1,0,0,0
90,38.83,0.1,3,0,0,0,2,0,0,0
98,38.83,0,1,0,0,0,1,0,0,0
102,38.83,0,2,0,0,0,1,0,0,0
105,38.83,0.1,2,0,0,0,2,0,0,0
109,38.84,0.1,2,0,0,0,2,0,0,0
113,38.85,0.1,2,0,0,0,1,0,0,0
137,38.84,0,2,0,0,0,1,0,0,0
141,38.84,0.1,2,0,0,0,2,0,0,0
145,38.83,0.1,3,0,0,0,2,0,0,0
148,38.83,0.1,3,0,0,0,3,0,0,0
152,38.83,0.1,2,0,0,0,2,0,0,0
156,38.85,0,2,0,0,0,1,0,0,0
164,38.82,0,2,0,0,0,1,0,0,0
168,38.83,0.1,2,0,0,0,2,0,0,0
172,38.84,0,2,0,0,0,1,0,0,0
176,38.82,0,2,0,0,0,1,0,0,0
180,38.84,0.1,2,0,0,0,2,0,0,0
184,38.84,0.1,2,0,0,0,2,0,0,0
188,38.83,0.1,2,0,0,0,2,0,0,0
207,38.82,0.1,2,0,0,0,2,0,0,0
211,38.83,0.1,2,0,0,0,2,0,0,0
215,38.82,0.1,2,0,0,0,2,0,0,0
219,38.84,0.1,2,0,0,0,2,0,0,0
223,38.84,0.1,2,0,0,0,2,0,0,0
227,38.84,0.1,3,0,0,0,2,0,0,0
230,38.82,0,1,0,0,0,1,0,0,0
234,38.83,0,2,0,0,0,1,0,0,0
238,38.85,0.1,2,0,0,0,1,0,0,0
242,38.82,0.1,2,0,0,0,2,0,0,0
246,38.83,0.1,2,0,0,0,2,0,0,0
250,38.83,0.1,3,0,0,0,2,0,0,0
254,38.82,0.1,2,0,0,0,2,0,0,0
258,38.84,0.1,2,0,0,0,2,0,0,0
281,38.83,0.1,3,0,0,0,2,0,0,0
285,38.82,0,2,0,0,0,1,0,0,0
289,38.83,0.1,2,0,0,0,2,0,0,0
293,38.84,0.1,2,0,0,0,2,0,0,0
301,38.83,0,2,0,0,0,1,0,0,0
305,38.84,0,2,0,0,0,1,0,0,0
309,38.84,0,2,0,0,0,1,0,0,0
312,38.85,0,2,0,0,0,1,0,0,0
316,38.84,0.1,3,0,0,0,2,0,0,0
320,38.85,0.1,3,0,0,0,2,0,0,0
324,38.83,0.1,2,0,0,0,2,0,0,0
328,38.82,0.1,3,0,0,0,2,0,0,0
332,38.83,0,2,0,0,0,1,0,0,0
352,38.84,0.1,2,0,0,0,2,0,0,0
355,38.84,0.1,2,0,0,0,2,0,0,0
359,38.83,0.1,2,0,0,0,1,0,0,0
367,38.83,0,2,0,0,0,1,0,0,0
371,38.84,0.1,2,0,0,0,2,0,0,0
375,38.83,0.1,2,0,0,0,2,0,0,0
379,38.84,0.1,2,0,0,0,2,0,0,0
383,38.81,0.1,2,0,0,0,2,0,0,0
387,38.83,0.1,2,0,0,0,2,0,0,0
391,38.86,0.1,2,0,0,0,2,0,0,0
395,38.84,0.1,2,0,0,0,1,0,0,0
402,38.81,0.1,3,0,0,0,2,0,0,0
406,38.83,0,2,0,0,0,1,0,0,0
426,38.84,0.1,2,0,0,0,2,0,0,0
430,38.84,0.1,2,0,0,0,1,0,0,0
434,38.83,0,1,0,0,0,1,0,0,0
438,38.84,0.1,2,0,0,0,1,0,0,0
441,38.84,0.1,2,0,0,0,2,0,0,0
445,38.83,0.1,2,0,0,0,2,0,0,0
449,38.83,0.1,2,0,0,0,1,0,0,0
453,38.84,0.1,2,0,0,0,2,0,0,0
457,38.84,0.1,2,0,0,0,1,0,0,0
461,38.84,0.1,3,0,0,0,2,0,0,0
469,38.82,0,1,0,0,0,1,0,0,0
473,38.84,0,1,0,0,0,1,0,0,0
477,38.84,0,2,0,0,0,1,0,0,0
496,38.83,0.1,3,0,0,0,2,0,0,0
504,38.85,0.1,2,0,0,0,2,0,0,0
508,38.84,0,2,0,0,0,1,0,0,0
512,38.83,0.1,2,0,0,0,2,0,0,0
516,38.84,0,2,0,0,0,1,0,0,0
520,38.83,0.1,3,0,0,0,2,0,0,0
523,38.82,0.1,2,0,0,0,2,0,0,0
527,38.83,0.1,2,0,0,0,1,0,0,0
531,38.83,0.1,2,0,0,0,2,0,0,0
535,38.84,0,1,0,0,0,1,0,0,0
539,38.83,0.1,2,0,0,0,1,0,0,0
543,38.83,0.1,2,0,0,0,2,0,0,0
547,38.83,0.1,3,0,0,0,2,0,0,0
570,38.83,0,2,0,0,0,1,0,0,0
574,38.83,0,2,0,0,0,1,0,0,0
578,38.84,0,2,0,0,0,1,0,0,0
582,38.82,0.1,3,0,0,0,2,0,0,0
586,38.84,0.1,2,0,0,0,2,0,0,0
590,38.82,0.1,2,0,0,0,2,0,0,0
594,38.85,0.1,2,0,0,0,2,0,0,0
