Time,Battery Voltage,Battery Current,Battery Power,Torque,Cadence,Rider Power,Total Power,Ride Distance,KMPH,Error Code
0,37.9,0,0,7.9,0,0,0,33,0,0
4,37.9,0,0,7.9,0,0,0,33,0,0
8,37.9,0,0,7.9,0,0,0,33,0,0
12,37.89,0,0,7.9,0,0,0,33,0,0
16,37.91,0,1,7.9,0,0,0,33,0,0
20,37.89,0,0,7.9,0,0,0,33,0,0
23,37.89,0,0,7.9,0,0,0,33,0,0
27,37.89,0,0,7.9,0,0,0,33,0,0
31,37.89,0,1,7.9,0,0,1,33,0,0
35,37.9,0,0,7.9,0,0,0,33,0,0
39,37.89,0,1,7.9,0,0,0,33,0,0
59,37.9,0,0,7.9,0,0,0,33,0,0
62,37.9,0,0,7.9,0,0,0,33,0,0
66,37.9,0,0,7.9,0,0,0,33,0,0
70,37.9,0,0,7.9,0,0,0,33,0,0
74,37.89,0,0,7.9,0,0,0,33,0,0
78,37.89,0,0,7.9,0,0,0,33,0,0
82,37.9,0,0,7.9,0,0,0,33,0,0
90,37.89,0,0,7.9,0,0,0,33,0,0
94,37.88,0,0,7.9,0,0,0,33,0,0
98,37.89,0,1,7.9,0,0,0,33,0,0
102,37.9,0,0,7.9,0,0,0,33,0,0
105,37.9,0,0,7.9,0,0,0,33,0,0
109,37.9,0,0,7.9,0,0,0,33,0,0
129,37.9,0,1,7.9,0,0,0,33,0,0
133,37.9,0,0,7.9,0,0,0,33,0,0
137,37.9,0,0,7.9,0,0,0,33,0,0
141,37.91,0,0,7.9,0,0,0,33,0,0
145,37.9,0,0,7.9,0,0,0,33,0,0
148,37.9,0,0,7.9,0,0,0,33,0,0
156,37.89,0,0,7.9,0,0,0,33,0,0
160,37.89,0,0,7.9,0,0,0,33,0,0
164,37.89,0,1,7.9,0,0,0,33,0,0
168,37.91,0,0,7.9,0,0,0,33,0,0
172,37.9,0,1,7.9,0,0,0,33,0,0
176,37.9,0,0,7.9,0,0,0,33,0,0
195,37.91,0,0,7.9,0,0,0,33,0,0
199,37.91,0,0,7.9,0,0,0,33,0,0
203,37.91,0,0,7.9,0,0,0,33,0,0
207,37.91,0,0,7.9,0,0,0,33,0,0
211,37.91,0,0,7.9,0,0,0,33,0,0
215,37.91,0,0,7.9,0,0,0,33,0,0
219,37.91,0,0,7.9,0,0,0,33,0,0
223,37.9,0,0,7.9,0,0,0,33,0,0
227,37.9,0,0,7.9,0,0,0,33,0,0
230,37.89,0,0,7.9,0,0,0,33,0,0
234,37.91,0,1,7.9,0,0,0,33,0,0
238,37.91,0,0,7.9,0,0,0,33,0,0
242,37.91,0,0,7.9,0,0,0,33,0,0
262,37.9,0,0,7.9,0,0,0,33,0,0
266,37.9,0,0,7.9,0,0,0,33,0,0
270,37.9,0,0,7.9,0,0,0,33,0,0
273,37.9,0,0,7.9,0,0,0,33,0,0
277,37.9,0,0,7.9,0,0,0,33,0,0
281,37.9,0,0,7.9,0,0,0,33,0,0
285,37.9,0,0,7.9,0,0,0,33,0,0
289,37.9,0,0,7.9,0,0,0,33,0,0
293,37.9,0,1,7.9,0,0,0,33,0,0
297,37.89,0,1,7.9,0,0,0,33,0,0
301,37.89,0,0,7.9,0,0,0,33,0,0
305,37.9,0,0,7.9,0,0,0,33,0,0
309,37.9,0,1,7.9,0,0,0,33,0,0
328,37.9,0,0,7.9,0,0,0,33,0,0
332,37.9,0,0,7.9,0,0,0,33,0,0
336,37.9,0,0,7.9,0,0,0,33,0,0
340,37.9,0,0,7.9,0,0,0,33,0,0
344,37.9,0,0,7.9,0,0,0,33,0,0
348,37.91,0,0,7.9,0,0,0,33,0,0
352,37.91,0,0,7.9,0,0,0,33,0,0
355,37.91,0,0,7.9,0,0,0,33,0,0
359,37.89,0,0,7.9,0,0,0,33,0,0
363,37.9,0,0,7.9,0,0,0,33,0,0
367,37.9,0,0,7.9,0,0,0,33,0,0
371,37.91,0,0,7.9,0,0,0,33,0,0
375,37.9,0,0,7.9,0,0,0,33,0,0
395,37.89,0,0,7.9,0,0,0,33,0,0
398,37.89,0,0,7.9,0,0,0,33,0,0
402,37.88,0,0,7.9,0,0,0,33,0,0
406,37.89,0,0,7.9,0,0,0,33,0,0
410,37.89,0,0,7.9,0,0,0,33,0,0
414,37.89,0,1,7.9,0,0,0,33,0,0
418,37.9,0,0,7.9,0,0,0,33,0,0
422,37.91,0,0,7.9,0,0,0,33,0,0
426,37.89,0,0,7.9,0,0,0,33,0,0
430,37.89,0,1,7.9,0,0,0,33,0,0
434,37.89,0,0,7.9,0,0,0,33,0,0
438,37.91,0,0,7.9,0,0,0,33,0,0
441,37.9,0,0,7.9,0,0,0,33,0,0
461,37.91,0,0,7.9,0,0,0,33,0,0
465,37.9,0,0,7.9,0,0,0,33,0,0
469,37.9,0,0,7.9,0,0,0,33,0,0
473,37.9,0,1,7.9,0,0,0,33,0,0
477,37.91,0,0,7.9,0,0,0,33,0,0
480,37.9,0,0,7.9,0,0,0,33,0,0
484,37.92,0,0,7.9,0,0,0,33,0,0
488,37.91,0,0,7.9,0,0,0,33,0,0
492,37.91,0,0,7.9,0,0,0,33,0,0
496,37.9,0,0,7.9,0,0,0,33,0,0
500,37.89,0,0,7.9,0,0,0,33,0,0
504,37.9,0,0,7.9,0,0,0,33,0,0
523,37.91,0,1,7.9,0,0,0,33,0,0
527,37.91,0,1,7.9,0,0,0,33,0,0
531,37.89,0,0,7.9,0,0,0,33,0,0
535,37.9,0,1,7.9,0,0,0,33,0,0
539,37.9,0,0,7.9,0,0,0,33,0,0
543,37.91,0,0,7.9,0,0,0,33,0,0
547,37.9,0,1,7.9,0,0,0,33,0,0
