Time,Battery Voltage,Battery Current,Battery Power,Torque,Cadence,Rider Power,Total Power,Ride Distance,KMPH,Error Code
0,39.62,0,2,0,0,0,1,0,0,0
8,39.62,0,2,0,0,0,1,0,0,0
12,39.62,0.1,2,0,0,0,2,0,0,0
16,39.62,0.1,2,0,0,0,2,0,0,0
20,39.61,0,2,0,0,0,1,0,0,0
23,39.61,0.1,2,0,0,0,2,0,0,0
27,39.6,0,2,0,0,0,1,0,0,0
31,39.61,0.1,2,0,0,0,1,0,0,0
35,39.62,0.1,2,0,0,0,2,0,0,0
39,39.61,0,2,0,0,0,1,0,0,0
43,39.62,0,1,0,0,0,1,0,0,0
62,39.61,0,1,0,0,0,1,0,0,0
66,39.6,0,2,0,0,0,1,0,0,0
70,39.61,0,2,0,0,0,1,0,0,0
74,39.62,0.1,2,0,0,0,2,0,0,0
78,39.62,0,2,0,0,0,1,0,0,0
82,39.63,0,2,0,0,0,1,0,0,0
86,39.62,0.1,2,0,0,0,2,0,0,0
90,39.62,0.1,2,0,0,0,2,0,0,0
94,39.61,0,1,0,0,0,1,0,0,0
98,39.62,0.1,2,0,0,0,2,0,0,0
102,39.62,0,2,0,0,0,1,0,0,0
105,39.62,0.1,2,0,0,0,2,0,0,0
109,39.62,0,2,0,0,0,1,0,0,0
129,39.62,0,2,0,0,0,1,0,0,0
133,39.62,0,2,0,0,0,1,0,0,0
137,39.63,0,2,0,0,0,1,0,0,0
141,39.61,0,1,0,0,0,1,0,0,0
145,39.61,0,2,0,0,0,1,0,0,0
148,39.61,0.1,2,0,0,0,2,0,0,0
152,39.63,0,2,0,0,0,1,0,0,0
156,39.62,0,2,0,0,0,1,0,0,0
160,39.62,0,2,0,0,0,1,0,0,0
164,39.62,0.1,2,0,0,0,1,0,0,0
168,39.62,0.1,2,0,0,0,2,0,0,0
172,39.62,0,2,0,0,0,1,0,0,0
176,39.63,0,1,0,0,0,1,0,0,0
195,39.63,0,1,0,0,0,1,0,0,0
199,39.62,0,2,0,0,0,1,0,0,0
203,39.61,0,2,0,0,0,1,0,0,0
207,39.63,0,2,0,0,0,1,0,0,0
211,39.61,0,2,0,0,0,1,0,0,0
215,39.62,0.1,2,0,0,0,1,0,0,0
219,39.62,0.1,2,0,0,0,2,0,0,0
223,39.62,0.1,3,0,0,0,2,0,0,0
227,39.61,0.1,2,0,0,0,2,0,0,0
230,39.61,0.1,2,0,0,0,2,0,0,0
234,39.62,0,2,0,0,0,1,0,0,0
238,39.62,0,2,0,0,0,1,0,0,0
242,39.62,0,2,0,0,0,1,0,0,0
246,39.62,0.1,2,0,0,0,2,0,0,0
266,39.61,0,2,0,0,0,1,0,0,0
270,39.63,0,1,0,0,0,1,0,0,0
273,39.61,0,2,0,0,0,1,0,0,0
277,39.62,0.1,2,0,0,0,1,0,0,0
281,39.63,0.1,2,0,0,0,2,0,0,0
285,39.63,0,1,0,0,0,1,0,0,0
289,39.62,0.1,2,0,0,0,2,0,0,0
293,39.63,0.1,3,0,0,0,2,0,0,0
297,39.62,0.1,2,0,0,0,1,0,0,0
301,39.62,0.1,2,0,0,0,2,0,0,0
305,39.64,0,2,0,0,0,1,0,0,0
309,39.63,0,2,0,0,0,1,0,0,0
312,39.62,0.1,2,0,0,0,2,0,0,0
332,39.62,0,1,0,0,0,1,0,0,0
336,39.61,0,2,0,0,0,1,0,0,0
340,39.63,0.1,2,0,0,0,2,0,0,0
344,39.62,0,2,0,0,0,1,0,0,0
348,39.63,0,2,0,0,0,1,0,0,0
352,39.62,0,2,0,0,0,1,0,0,0
355,39.63,0,2,0,0,0,1,0,0,0
359,39.61,0.1,2,0,0,0,2,0,0,0
363,39.63,0.1,3,0,0,0,2,0,0,0
367,39.61,0,2,0,0,0,1,0,0,0
371,39.62,0,2,0,0,0,1,0,0,0
375,39.63,0,2,0,0,0,1,0,0,0
379,39.63,0,2,0,0,0,1,0,0,0
398,39.63,0.1,3,0,0,0,2,0,0,0
402,39.61,0.1,2,0,0,0,2,0,0,0
406,39.62,0,2,0,0,0,1,0,0,0
410,39.61,0,2,0,0,0,1,0,0,0
414,39.63,0,2,0,0,0,1,0,0,0
418,39.62,0,2,0,0,0,1,0,0,0
422,39.63,0,1,0,0,0,1,0,0,0
426,39.61,0.1,2,0,0,0,2,0,0,0
430,39.62,0.1,2,0,0,0,2,0,0,0
434,39.63,0,1,0,0,0,1,0,0,0
438,39.63,0.1,2,0,0,0,2,0,0,0
441,39.61,0,2,0,0,0,1,0,0,0
445,39.63,0,2,0,0,0,1,0,0,0
465,39.61,0,2,0,0,0,1,0,0,0
469,39.63,0,1,0,0,0,1,0,0,0
473,39.62,0,2,0,0,0,1,0,0,0
477,39.62,0,2,0,0,0,1,0,0,0
480,39.62,0,2,0,0,0,1,0,0,0
484,39.62,0,2,0,0,0,1,0,0,0
488,39.64,0,2,0,0,0,1,0,0,0
496,39.6,0.1,3,0,0,0,2,0,0,0
500,39.63,0.1,3,0,0,0,2,0,0,0
504,39.61,0.1,2,0,0,0,2,0,0,0
508,39.62,0,2,0,0,0,1,0,0,0
512,39.63,0,1,0,0,0,1,0,0,0
