Time,Battery Voltage,Battery Current,Battery Power,Torque,Cadence,Rider Power,Total Power,Ride Distance,KMPH,Error Code
2016,40.08,0,0,0,6.2,0,0,0,0,0
2020,40.11,0,0,0,6.2,0,0,0,0,0
2023,40.1,0,0,0,6.2,0,0,0,0,0
2027,40.12,0,1,0,6.2,0,0,0,0,0
2047,40.11,0,1,0,6.2,0,1,0,0,0
2051,40.12,0,1,0,6.2,0,0,0,0,0
2055,40.13,0,0,0,6.2,0,0,0,0,0
2059,40.11,0,2,0,6.2,0,1,0,0,0
2062,40.11,0,1,0,6.2,0,1,0,0,0
2066,40.11,0,1,0,6.2,0,0,0,0,0
2070,40.11,0,2,0,6.2,0,1,0,0,0
2074,40.12,0,1,0,6.2,0,0,0,0,0
2078,40.11,0,0,0,6.2,0,0,0,0,0
2082,40.11,0,0,0,6.2,0,0,0,0,0
2086,40.1,0,1,0,6.2,0,0,0,0,0
2090,40.1,0,0,0,6.2,0,0,0,0,0
2094,40.11,0,0,0,6.2,0,0,0,0,0
2113,40.12,0,0,0,6.2,0,0,0,0,0
2117,40.08,0,1,0,6.2,0,1,0,0,0
2121,40.11,0,1,0,6.2,0,0,0,0,0
2125,40.13,0,0,0,6.2,0,0,0,0,0
2129,40.12,0,1,0,6.2,0,1,0,0,0
2133,40.15,0,0,0,6.2,0,0,0,0,0
2137,40.12,0,1,0,6.2,0,1,0,0,0
2141,40.11,0,1,0,5.9,0,1,0,0,0
2145,40.12,0,0,0,5.9,0,0,0,0,0
2148,40.11,0,0,0,5.9,0,0,0,0,0
2152,40.1,0,0,0,5.9,0,0,0,0,0
2156,40.11,0,1,0,5.9,0,0,0,0,0
2180,40.11,0,0,0,6,0,0,0,0,0
2184,40.11,0,1,0,6,0,1,0,0,0
2188,40.09,0,1,0,6,0,1,0,0,0
2191,40.11,0,2,0,6,0,1,0,0,0
2195,40.12,0,1,0,6,0,1,0,0,0
2199,40.13,0,0,0,6,0,0,0,0,0
2203,40.11,0,2,0,6,0,1,0,0,0
2207,40.13,0,1,0,6,0,0,0,0,0
2215,40.1,0,0,0,6,0,0,0,0,0
2219,40.1,0,1,0,6,0,0,0,0,0
2223,40.1,0,0,0,6,0,0,0,0,0
2227,40.09,0,1,0,6,0,0,0,0,0
2230,40.12,0,2,0,6,0,1,0,0,0
2250,40.11,0,1,0,6,0,0,0,0,0
2254,40.1,0,1,0,6,0,1,0,0,0
2258,40.11,0,1,0,6,0,0,0,0,0
2262,40.11,0,1,0,6,0,0,0,0,0
2266,40.11,0,1,0,6,0,1,0,0,0
2270,40.11,0,1,0,6,0,0,0,0,0
2273,40.11,0,0,0,6,0,0,0,0,0
2277,40.13,0,1,0,6,0,1,0,0,0
2281,40.11,0,0,0,6,0,0,0,0,0
2285,40.11,0,0,0,6,0,0,0,0,0
2289,40.12,0,1,0,6,0,0,0,0,0
2293,40.1,0,0,0,6,0,0,0,0,0
2297,40.12,0,1,0,6,0,1,0,0,0
2316,40.11,0,1,0,6,0,1,0,0,0
2320,40.12,0,1,0,6,0,0,0,0,0
2324,40.13,0,1,0,6.5,0,0,0,0,0
2328,40.11,0,0,0,6.5,0,0,0,0,0
2332,40.12,0,1,0,6.5,0,0,0,0,0
2336,40.13,0,1,0,6.5,0,0,0,0,0
2340,40.09,0,1,0,6.5,0,0,0,0,0
2344,40.12,0,0,0,6.5,0,0,0,0,0
2348,40.11,0,1,2.3,6.8,1,1,0,0,0
2352,40.1,0,1,2.3,6.8,1,2,0,0,0
2355,40.13,0,0,2.3,6.8,1,1,0,0,0
2359,40.11,0.1,3,2.3,6.8,1,3,0,0,0
2363,40.11,0.1,2,2.3,6.8,1,3,0,0,0
2383,40.09,0.1,3,2.3,6.8,1,4,0,0,0
2387,40.09,0.1,2,2.3,6.8,1,3,0,0,0
2391,40.1,0.1,3,2.3,6.8,1,4,0,0,0
2395,40.11,0.1,2,2.3,6.8,1,3,0,0,0
2398,40.1,0.1,4,2.3,6.8,1,4,0,0,0
2402,40.08,0.1,5,2.3,6.8,1,6,0,0,0
2406,40.09,0.1,4,2.3,6.8,1,5,0,0,0
2410,40.1,0.1,4,2.3,6.8,1,4,0,0,0
2418,40.11,0.1,4,2.3,6.8,1,5,0,0,0
2422,40.08,0.1,5,2.3,6.8,1,5,0,0,0
