Time,Battery Voltage,Battery Current,Battery Power,Torque,Cadence,Rider Power,Total Power,Ride Distance,KMPH,Error Code
0,40.04,0,1,0,0.8,0,1,0,0,0
4,40.05,0,1,0,0.8,0,0,0,0,0
8,40.05,0,1,0,0.8,0,1,0,0,0
16,40.05,0,1,0,0.8,0,0,0,0,0
20,40.05,0,0,0,0.8,0,0,0,0,0
23,40.04,0,1,0,0.8,0,0,0,0,0
27,40.04,0,1,0,0.8,0,0,0,0,0
31,40.04,0,1,0,0.8,0,1,0,0,0
35,40.05,0,0,0,0.8,0,0,0,0,0
39,40.05,0,1,0,0.8,0,1,0,0,0
43,40.07,0,1,0,0.8,0,1,0,0,0
62,40.06,0,1,0,0.8,0,0,0,0,0
66,40.06,0,1,0,0.8,0,1,0,0,0
70,40.05,0,1,0,0.8,0,0,0,0,0
74,40.06,0,1,0,0.8,0,0,0,0,0
78,40.05,0,1,0,0.8,0,1,0,0,0
82,40.05,0,0,0,0.8,0,0,0,0,0
86,40.05,0,1,0,0.8,0,0,0,0,0
90,40.04,0,0,0,0.8,0,0,0,0,0
94,40.06,0,1,0,0.8,0,0,0,0,0
98,40.07,0,1,0,0.8,0,1,0,0,0
102,40.08,0,1,0,0.8,0,0,0,0,0
105,40.07,0,1,0,0.8,0,1,0,0,0
109,40.07,0,1,0,0.8,0,0,0,0,0
129,40.05,0,2,0,0.8,0,1,0,0,0
133,40.06,0,1,0,0,0,1,0,0,0
137,40.05,0,0,0,0,0,0,0,0,0
141,40.09,0,0,0,0,0,0,0,0,0
145,40.05,0,1,0,0,0,1,0,0,0
148,40.06,0,1,0,0,0,0,0,0,0
152,40.05,0,0,0,0,0,0,0,0,0
156,40.05,0,1,0,0,0,0,0,0,0
160,40.07,0,1,0,0,0,1,0,0,0
164,40.05,0,1,0,0,0,1,0,0,0
168,40.07,0,0,0,0,0,0,0,0,0
172,40.07,0,0,0,10.8,0,0,0,0,0
176,40.03,0,0,0,10.8,0,0,0,0,0
199,40.05,0,2,0,10.8,0,1,0,0,0
203,40.06,0,1,0,10.8,0,1,0,0,0
207,40.07,0,1,0,10.8,0,0,0,0,0
211,40.08,0,0,0,10.8,0,0,0,0,0
219,40.04,0,0,0,10.8,0,0,0,0,0
223,40.07,0,0,0,10.8,0,0,0,0,0
227,40.06,0,0,0,10.8,0,0,0,0,0
230,40.06,0,1,0,10.8,0,0,0,0,0
234,40.04,0,0,0,10.8,0,0,0,0,0
238,40.05,0,1,0,10.8,0,0,0,0,0
242,40.04,0,0,0,10.8,0,0,0,0,0
246,40.06,0,1,0,10.8,0,0,0,0,0
250,40.04,0,1,0,10.8,0,1,0,0,0
270,40.06,0,1,0,10.8,0,1,0,0,0
273,40.06,0,1,0,10.8,0,0,0,0,0
277,40.07,0,0,0,10.8,0,0,0,0,0
281,40.06,0,1,0,10.8,0,0,0,0,0
285,40.04,0,0,0,10.8,0,0,0,0,0
289,40.06,0,1,0,10.8,0,0,0,0,0
293,40.06,0,0,0,10.8,0,0,0,0,0
297,40.05,0,1,0,10.8,0,0,0,0,0
301,40.06,0,1,0,10.8,0,0,0,0,0
305,40.07,0,1,0,10.8,0,0,0,0,0
309,40.07,0,0,0,10.8,0,0,0,0,0
312,40.07,0,2,0,10.8,0,1,0,0,0
316,40.07,0,1,0,10.8,0,0,0,0,0
336,40.07,0,1,0,10.8,0,0,0,0,0
340,40.06,0,0,0,10.8,0,0,0,0,0
344,40.07,0,1,0,10.8,0,0,0,0,0
348,40.06,0,1,0,10.8,0,1,0,0,0
352,40.06,0,0,0,10.8,0,0,0,0,0
355,40.05,0,0,0,10.8,0,0,0,0,0
359,40.05,0,1,0,10.8,0,0,0,0,0
363,40.05,0,1,0,10.8,0,1,0,0,0
367,40.07,0,1,0,9.6,0,0,0,0,0
371,40.07,0,1,0,9.6,0,0,0,0,0
375,40.05,0,0,0,9.6,0,0,0,0,0
379,40.06,0,0,0,9.6,0,0,0,0,0
387,40.06,0,1,0,9.6,0,1,0,0,0
406,40.06,0,0,0,8.7,0,0,0,0,0
410,40.06,0,1,0,8.7,0,0,0,0,0
414,40.04,0,1,0,8.7,0,1,0,0,0
418,40.05,0,0,0,8.7,0,0,0,0,0
422,40.05,0,0,0,8.7,0,0,0,0,0
426,40.03,0,1,0,8.7,0,0,0,0,0
430,40.06,0,0,0,8.7,0,0,0,0,0
434,40.07,0,0,0,8.7,0,0,0,0,0
438,40.06,0,1,0,8.7,0,0,0,0,0
441,40.06,0,1,0,8.7,0,1,0,0,0
445,40.05,0,1,0,8.7,0,1,0,0,0
449,40.06,0,0,0,8.7,0,0,0,0,0
453,40.05,0,1,0,8.7,0,1,0,0,0
473,40.06,0,2,0,8.7,0,1,0,0,0
477,40.07,0,0,0,8.7,0,0,0,0,0
480,40.07,0,0,0,8.7,0,0,0,0,0
484,40.06,0,0,0,8.7,0,0,0,0,0
488,40.04,0,1,0,8.7,0,0,0,0,0
492,40.05,0,1,0,8.7,0,1,0,0,0
496,40.05,0,1,0,8.7,0,0,0,0,0
500,40.08,0,1,0,8.7,0,0,0,0,0
504,40.06,0,1,0,8.7,0,1,0,0,0
508,40.06,0,1,0,8.7,0,1,0,0,0
512,40.02,0,0,0,8.7,0,0,0,0,0
516,40.07,0,0,0,8.7,0,0,0,0,0
520,40.06,0,0,0,8.7,0,0,0,0,0
539,40.07,0,1,0,8.7,0,1,0,0,0
543,40.07,0,1,0,8.7,0,1,0,0,0
547,40.07,0,0,0,8.5,0,0,0,0,0
551,40.07,0,1,0,8.5,0,1,0,0,0
555,40.06,0,0,0,8.5,0,0,0,0,0
559,40.04,0,1,0,8.5,0,0,0,0,0
562,40.05,0,1,0,8.5,0,1,0,0,0
566,40.07,0,0,0,8.5,0,0,0,0,0
570,40.04,0,1,2.3,8.4,1,1,0,0,0
574,40.05,0,0,2.3,8.4,1,1,0,0,0
578,40.05,0.1,2,2.3,8.4,1,3,0,0,0
582,40.06,0.1,2,2.3,8.4,1,3,0,0,0
590,40.04,0,2,2.3,8.4,1,2,0,0,0
609,40.04,0.1,3,2.3,8.4,1,4,0,0,0
613,40.05,0,2,2.3,8.4,1,2,0,0,0
617,40.04,0.1,3,2.3,8.4,1,3,0,0,0
621,40.04,0.1,2,2.3,8.4,1,3,0,0,0
625,40.05,0.1,2,2.3,8.4,1,3,0,0,0
629,40.04,0.1,2,2.3,8.4,1,3,0,0,0
633,40.05,0.1,3,2.3,8.4,1,4,0,0,0
637,40.05,0.1,3,2.3,8.4,1,3,0,0,0
641,40.04,0.1,3,2.3,8.4,1,3,0,0,0
645,40.05,0.1,2,2.3,8.4,1,3,0,0,0
648,40.05,0.1,2,2.3,8.4,1,3,0,0,0
652,40.06,0.1,3,2.3,8.4,1,4,0,0,0
656,40.04,0,1,2.3,8.4,1,2,0,0,0
676,40.05,0.1,4,2.3,8.4,1,5,0,0,0
680,40.02,0.1,4,2.3,8.4,1,5,0,0,0
684,40.05,0.1,4,2.3,8.4,1,5,0,0,0
